,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin,Fabriction,Fabrocation,Materia,Platform,Volume,Suitable,Includes,Wedge,Sport,Sneaker,Base,Footwear,Ingredients,Formal,Toe,Size,Qty,Care
341,Nylite - field green,Tretorn,Field Green,Code NYLITE-062,Canvas Upper with Rubber sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2107437/original.jpg,women,"UK 4, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
342,Nylite - stone blue & white,Tretorn,Stone Blue & White,Code NYLITE-089,Canvas Upper with Rubber sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2107447/original.jpg,women,"UK 4, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
343,Wmns nike dbreak - sail/particle beige-white,Nike,sail/particle beige-white,,"Synthetic,Leather Upper/Rubber Sole",R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2051467/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
344,Nylite - white / white,Tretorn,White,Code NYLITE-003,Canvas Upper with Rubber Sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2107385/original.jpg,women,"UK 4, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, UK 9, UK 9.5, UK 3.5, ",,,,,,,,,,,,,,,,,,,,
345,Nylite - white / navy,Tretorn,White & Navy,Code NYLITE-031,Canvas Upper with Rubber sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2107424/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
346,Nylite artis - fog,Tretorn,Fog,Code NYLITE ARTIS-027,Leather Upper with Rubber sole,R1799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091831/original.jpg,men,"UK 6, UK 6.5, UK 8, UK 9, UK 9.5, UK 3.5, UK 4, UK 5, UK 7.5, UK 10.5, ",,,,,,,,,,,,,,,,,,,,
347,Chuck taylor all star move hi - anodized metals,Converse,pink foam/digital blue/white anodized metals,,Textile Upper/Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2075039/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",,,,,,,,,,,,,,,,,,,,
348,Nylite -white / green,Tretorn,White & Green,Code NYLITE-029,Canvas Upper with Rubber sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2107415/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
349,Nylite - alder-white,Tretorn,White,Code NYLITE-008,Canvas Upper with Rubber sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2107397/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
350,Nylite ocean net - chalk - stone,Tretorn,Chalk Stone,Code NYLITE OCEAN NET-043,Cotton Upper with Rubber sole,R844,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091900/original.jpg,men,"UK 3.5, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, UK 9, UK 9.5, UK 4, UK 10.5, ",,,,,,,,,,,,,,,,,,,,
351,Kyron dd wn’s - puma black-elektro purple-nrgy yellow,PUMA,Puma black-elektro purple - energy yellow,,Synthetic Upper/Rubber Sole,R1494,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071873/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
352,Feiyue 1920 mid classic - white,Feiyue,White,,Canvas Upper with Rubber sole,R489,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2105574/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 3, UK 10, ",,,,,,,,,,,,,,,,,,,,
353,Chuck taylor all star move ox - canvas color,Converse,White / White / White canvas color,,,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2075002/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 8, UK 4, ",,,Canvas Upper/Rubber Sole,,,,,,,,,,,,,,,,,
354,Feiyue fe lo 1920 classic - ivory,Feiyue,White,,Canvas Upper with Rubber Sole,R549,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2105762/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,,,,
355,Feiyue 1920 mid classic - black,Feiyue,Black,,Canvas Upper with Rubber sole,R489,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2105752/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 3, UK 10, ",,,,,,,,,,,,,,,,,,,,
356,Mexico 66 - white/independence blue,Onitsuka Tiger,White & Independence Blue,Code 1182A078-104,Leather Upper with Suede Overlays & Rubber Sole,R944,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2105880/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
357,Nylite ocean net - black,Tretorn,Black,Code NYLITE OCEAN NET-011,Cotton Upper with Rubber sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2108792/original.jpg,men,"UK 3.5, UK 4, UK 5, UK 6, UK 6.5, UK 8, UK 9, UK 9.5, UK 11, UK 7.5, UK 10.5, ",,,,,,,,,,,,,,,,,,,,
358,Nylite ocean net - chalk - gold,Tretorn,Chalk Gold,Code NYLITE OCEAN NET-048,Cotton Upper with Rubber sole,R844,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091939/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 6.5, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
359,Tarther blast - white/white,Asics,White/White,Code 1202A042-101,TARTHER OG Synthetic fiber Upper with Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095424/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
360,2730 cotu  - grey ash,SUPERGA,Grey,Code s00c3n0-o4y,Canvas Upper with Rubber Sole,R699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2103081/original.jpg,women,"UK 6, UK 6.5, UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
361,Cadet - mink grey,G-Star RAW,Mink Grey,,,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2204497/original.jpg,women,"UK 4, UK 3, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
362,Chuck taylor all star move ox - canvas color,Converse,Black / White / White canvas color,,Canvas Upper/Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2074979/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
363,NMD_R1 - white/power berry,adidas Originals,Ftwr white/ftwr white/power berry,Code H67415,,R1874,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2101352/original.jpg,women,"UK 3.5, UK 4, UK 7, UK 8, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
364,Supercourt style - chalk white/ftwr white/grey one,adidas Originals,Chalk white/ftwr white/grey one,Code s42815,Leather Upper with Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2101411/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
365,Stan Smith w - ftwr white/scarlet/acid yellow,adidas Originals,Ftwr white/scarlet/acid yellow,Code FX5831,Faux Leather Upper with Rubber Sole,R1039,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2101285/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
366,Cruise rider 66 wn's -,PUMA Select,gray violet-puma white,,Textile Upper/Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071806/original.jpg,women,"UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
367,Daybreak - black / summit white,Nike,Black/Off-Noir/Gum Medium Brown/Summit White,Code CK2351-001,Nylon Upper with Suede overlays & Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2101154/original.jpg,women,"UK 4, UK 6, UK 3, UK 5, UK 7, ",,,,,,,,,,,,,,,,,,,,
368,Mexico 66 slip-on - white/birch,Onitsuka Tiger,White/birch,Code 1183A621-100,Leather Upper with Rubber Sole,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095362/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
369,Womens gsm - white/pure gold,Onitsuka Tiger,White/pure gold,Code 1182A538-101,Leather Upper with Rubber Sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095353/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
370,Classic Slip-On platform - black,Vans,Black,Code VN00018EBLK1,Canvas Upper with Waffle Sole,R636,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2090939/original.jpg,women,"UK 6, UK 7, UK 3, UK 4, UK 5, UK 8, ",,,,,,,,,,,,,,,,,,,,
371,Ua sk8-hi - (leopard) black/true white,Vans,Black/true white,Code VN0A4U3C3I61,Canvas Upper with Suede Overlays & Waffle Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091201/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
372,Superstar bold w - scarlet/core black/ftwr white,adidas Originals,Scarlet/core black/ftwr white,Code fz1836,Leather Upper with Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2098413/original.jpg,women,"UK 3.5, UK 4, UK 6, UK 7, UK 8, UK 5, ",,,,,,,,,,,,,,,,,,,,
373,Authentic platform 2.0 - true white,Vans,True white,Code VN0A3AV8W001,Canvas Upper with Waffle Sole,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091200/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
374,Era stacked - (checkerboard) multi/true white,Vans,Multi/true white,Code VN0A4BTOVLV1,Canvas Upper with Gum Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091125/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
375,Old Skool - (leather) blushing bride/true white,Vans,Blushing bride/true white,Code VN0A3WKT4Q41,Leather Upper with Waffle Sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091151/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
