,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
134,Chuck taylor all star summer fest patch hi - festival,Converse,Terracotta pink/Egret/Black,Code 570906C,Canvas Upper with Rubber Sole,1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178631/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-summer-fest-patch-hi-terracotta-pink-egret-black-festival/714089
135,Chuck taylor all star espadrille platform ox - seasonal color,Converse,Pink quartz/White/Natural ivory,Code 570771C,Canvas Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178365/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-espadrille-platform-ox-pink-quartz-white-natural-ivory-seasonal-color/714095
136,Chuck taylor all star espadrille platform ox - seasonal color,Converse,Banana cake/White/Natural ivory,Code 570772C,Canvas Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178449/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-espadrille-platform-ox-banana-cake-white-natural-ivory-seasonal-color/714101
137,Chuck taylor all star shoreline summer fest slip - festival,Converse,Egret/Chambray blue/White,Code 570911C,Canvas Upper with Rubber Sole,799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178671/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-shoreline-summer-fest-slip-egret-chambray-blue-white-festival/714103
138,Converse star replay platform all of the stars ox - white/converse black/converse black - all of the stars,Converse,White/Converse black/Converse black,Code 565365C,Canvas Upper with Rubber Sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178217/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",https://superbalist.com/women/shoes/sneakers/converse-star-replay-platform-all-of-the-stars-ox-white-converse-black-converse-black-all-of-the-stars/599447
139,Chuck taylor all star summer fest platform ox - festival,Converse,Egret/Terracotta pink/Black,Code 570970C,Canvas Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178992/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-summer-fest-platform-ox-egret-terracotta-pink-black-festival/714077
140,Chuck taylor all star garden party print ox - floral print,Converse,Light zitron/Black/white/Floral print,Code 570918F,Canvas Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178868/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-garden-party-print-ox-lt-zitron-black-white-floral-print/714081
141,Chuck 70 off the grid ox - color block,Converse,Chambray blue/Light field surplus/Egret,Code 570789C,Canvas Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178520/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-70-off-the-grid-ox-chambray-blue-light-field-surplus-egret-color-block/714099
142,Chuck taylor all star archive leopard print platform hi - archive print,Converse,Driftwood/Light fawn/Black,Code 570915C,Canvas Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178767/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-archive-leopard-print-platform-hi-driftwood-light-fawn-black-archive-print/714082
143,Chuck taylor all star summer fest platform hi - festival,Converse,Hi egret/Sesame/Black,Code 570969C,Canvas Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178957/original.jpg,women,"UK 3, UK 7, UK 8, UK 4, UK 5, UK 6, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-summer-fest-platform-hi-egret-sesame-black-festival/714091
144,Chuck taylor all star garden party platform ox - floral print,Converse,Egret/White/Bright poppy,Code 570920C,Canvas Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178932/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-garden-party-platform-ox-egret-white-bright-poppy-floral-print/714079
145,Chuck taylor all star garden party print hi - floral print,Converse,Egret/Black/White,Code 570919C,Canvas Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178908/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-garden-party-print-hi-egret-black-white-floral-print/714102
146,Suede mayu up wn's - suede mayu up wn's - 38165001 - lapis blue-marshmallow-gum 3,PUMA,Lapis blue-Marshmallow-Gum 3,Code 381650-01,Suede Upper/Rubber Sole,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176419/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/suede-mayu-up-wn-s-38165001-lapis-blue-marshmallow-gum-3/715753
147,720 - black,New Balance,Black,Code WL720EB,Suede/Nylon Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176907/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/720-black-001-wl720ca1/689850
148,720 - beige (268),New Balance,Beige,Code WL720CB1,Textile/Suede Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176915/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/720-beige-268-wl720cb1/689851
149,373v2 - rose water (692),New Balance,Rose water,Code WL574NE2,Suede/Mesh Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176863/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/373v2-rose-water-692-wl373sf2/689853
150,Oslo maja Ocean Queen,PUMA,Puma white-Cloud pink-Eggnog,Code 375059-01,Leather Upper/Rubber Sole,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176116/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/oslo-maja-oq-375059-01-puma-white-cloud-pink-eggnog/689546
151,Rs 2.0 femme wn's - puma white-desert sage-marshmallow,PUMA,puma white-desert sage-marshmallow,Code 374958-01,Suede/Textile Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176077/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/rs-2-0-femme-wn-s-374958-01-puma-white-desert-sage-marshmallow/689547
152,5740 (284),New Balance,Cream,Code W5740CD,Suede/Mesh Upper/Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176830/original.jpg,women,"UK 4, UK 5, UK 8, UK 3, UK 6, UK 7, ",https://superbalist.com/women/shoes/sneakers/5740-cream-284-w5740cd/689829
153,X-ray - puma black-puma white-cloud pink-apricot blush,PUMA,Puma black - Puma white - Cloud pink-apricot blush,Code 372602-27,Textile/Mesh Upper/Rubber Sole,974,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2175883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/x-ray-372602-27-puma-black-puma-white-cloud-pink-apricot-blush/689531
154,Cali sport cnv wn's - puma white-gray violet-shifting sand-eggnog-fiery coral,PUMA,puma white-gray violet-shifting sand-eggnog-fiery coral,Code 375991-01,Synthetic Leather Upper/Rubber Sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176258/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cali-sport-cnv-wn-s-375991-01-puma-white-gray-violet-shifting-sand-eggnog-fiery-coral/689536
155,Hedra Ocean Queen,PUMA,Eggnog-Puma white-Cloud pink,Code 375121-01,Suede/Mesh Upper/Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176196/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/hedra-oq-375121-01-eggnog-puma-white-cloud-pink/689544
156,Cadet pro - mercury,G-Star RAW,Mercury,,Cow Suede Leather Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176009/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cadet-pro-mercury/729266
157,Cadet pro - dark creuset,G-Star RAW,dark crueset,,PU Upper with Rubber Sole,1189,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176032/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cadet-pro-dark-creuset/729267
158,720 - brown (225),New Balance,Brown,Code WL720CF1,Suede/Textile Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176928/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 3, UK 8, ",https://superbalist.com/women/shoes/sneakers/720-brown-225-wl720cf1/689852
159,373v2 - grey (030),New Balance,Grey,Code WL373SM2,Mesh/Suede Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176875/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/373v2-grey-030-wl373sm2/689854
160,373v2 - black/white (048),New Balance,Black/White,Code WL373SN2,Suede/Mesh Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/373v2-black-white-048-wl373sn2/689855
161,Hedra minimal wn's - shifting sand-fizzy yellow-puma white,PUMA,Shifting sand-Fizzy yellow-Puma white,Code 375119-02,Leather/Synthetic Upper/Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176171/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",https://superbalist.com/women/shoes/sneakers/hedra-minimal-wn-s-375119-02-shifting-sand-fizzy-yellow-puma-white/689526
162,Puma skye cv dot - cloud pink-puma white,PUMA,Cloud pink - Puma white,Code 368883-01,Canvas Upper/Rubber Sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2175806/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/puma-skye-cv-dot-368883-01-cloud-pink-puma-white/689535
163,Cali star snake wn’s - puma white-puma white,PUMA,Puma white-Puma white,Code 80629-01,Leather Upper/Rubber Sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176393/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cali-star-snake-wn-s-380629-01-puma-white-puma-white/689539
164,Cruise rider Ocean Queen,PUMA,Eggnog-puma silver-cloud pink,Code 375073-01,Textile/Mesh Upper/Rubber Sole,1274,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176135/original.jpg,women,"UK 4, UK 6, UK 7, UK 8, UK 3, UK 5, ",https://superbalist.com/women/shoes/sneakers/cruise-rider-oq-375073-01-eggnog-puma-silver-cloud-pink/689542
165,Nylite gum - black,Tretorn,Black,,Canvas Upper with Rubber sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176667/original.jpg,women,"UK 3.5, UK 4, UK 6, UK 6.5, UK 7.5, UK 5, ",https://superbalist.com/women/shoes/sneakers/nylite-gum-black/730691
166,5740 - light pink (986),New Balance,Light pink,Code W5740CC-986,Suede/Mesh Upper,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176769/original.jpg,women,"UK 4, UK 7, UK 3, UK 5, UK 6, UK 8, ",https://superbalist.com/women/shoes/sneakers/5740-light-pink-986-w5740cc/689828
167,2341 alpina jelly - green tortora beige,SUPERGA,Green Tortora Beige,Code S1114WW-AEO,Canvas Upper with Rubber sole,1049,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2173100/original.jpg,women,"UK 3.5, UK 5, UK 5.5, UK 6.5, UK 7, UK 2.5, UK 4, UK 8, ",https://superbalist.com/women/shoes/sneakers/2341-alpina-jelly-s1114ww-aeo-green-tortora-beige/705834
168,Continental 80 stripes w - ftwr white/silver met./grey three,adidas Originals,ftwr white/silver met./grey three,Code S42626,Leather Upper/Rubber Sole,1274,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2174456/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/continental-80-stripes-w-s42626-ftwr-white-silver-met-grey-three/636251
169,Gel-lyte iii og - birch/camel beige,ASICS,Birch/Camel beige,Code 1202A236_206,Suede/Mesh Upper/Rubber Sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2174308/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/gel-lyte-iii-og-birch-camel-beige/673265
170,Continental 80 stripes w - ftwr white/clear pink/hazy rose,adidas Originals,ftwr white/clear pink/hazy rose,Code S42625,Leather Upper/Rubber Sole,1274,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2174426/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/continental-80-stripes-w-s42625-ftwr-white-clear-pink-hazy-rose/636250
171,Chuck taylor all star summer fest all-over print ox - festival,Converse,Egret/sesame/black,,Recycled poly-canvas upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171875/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-summer-fest-all-over-print-ox-egret-sesame-black-festival/714090
172,Run star hike archive gone wild ox - archive print,Converse,Driftwood/light fawn/black,,Canvas Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171762/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",https://superbalist.com/women/shoes/sneakers/run-star-hike-archive-gone-wild-ox-driftwood-light-fawn-black-archive-print/714097
173,Chuck taylor all star edged archive leopard print hi - archive print,Converse,Black/egret/driftwood,,Canvas Upper with Rubber Sole,1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171813/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-edged-archive-leopard-print-hi-black-egret-driftwood-archive-print/714109
174,Jack purcell low profile canvas ox - black/natural/white,Converse,Black/natural/white,,Canvas Upepr with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171897/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/jack-purcell-low-profile-canvas-ox-black-natural-white-canvas-color/714113
175,Jack purcell low profile canvas ox - white/natural/white,Converse,White,,Canvas Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171886/original.jpg,women,"UK 3, UK 4, UK 5, UK 7, UK 8, UK 6, ",https://superbalist.com/women/shoes/sneakers/jack-purcell-low-profile-canvas-ox-white-natural-white/714114
176,Chuck taylor all star garden party all-over print hi - floral print,Converse,Egret/black/white,,Canvas Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171839/original.jpg,women,"UK 4, UK 6, UK 3, UK 5, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-garden-party-all-over-print-hi-egret-black-white-floral-print/714080
177,327 - magnetic blue (550),New Balance,Magnetic blue,,Suede Upper,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171657/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/327-magnetic-blue-550-ws327cb/689838
178,Chuck taylor move archive print platform hi - archive print,Converse,Egret/black/egret,,Canvas Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171795/original.jpg,women,"UK 5, UK 8, UK 3, UK 4, UK 6, UK 7, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-move-archive-print-platform-hi-egret-black-egret-archive-print/714084
179,Chuck taylor all star archive print on print hi - archive print,Converse,Egret/piquant green/driftwood,,Canvas Upper with Rubber Sole,1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171862/original.jpg,women,"UK 4, UK 6, UK 7, UK 3, UK 5, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-archive-print-on-print-hi-egret-piquant-green-driftwood-archive-print/714086
180,Chuck 70 off the grid hi - citron pulse/pink quartz/egret,Converse,Citron pulse/pink quartz/egret,,Canvas Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171849/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-70-off-the-grid-hi-citron-pulse-pink-quartz-egret-color-block/714098
181,Wmn's 991 made in uk '20th anniversary',New Balance,Grey/enamel blue,,Suede Upper/Rubber Sole,2729,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171403/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/new-balance-991-made-in-uk-20th-anniversary-w991ani-grey-enamel-blue/722142
182,Chuck taylor all star metallic summer fest ox - festival,Converse,Egret/pink foam/storm wind,,,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171826/original.jpg,women,"UK 7, UK 3, UK 4, UK 5, UK 6, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-taylor-all-star-metallic-summer-fest-ox-egret-pink-foam-storm-wind-festival/714093
183,Chuck 70 summer fest ripstop ox - festival,Converse,Sesame/gravel/egret,,Textile Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171753/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/chuck-70-summer-fest-ripstop-ox-sesame-gravel-egret-festival/714107
184,Run star hike platform color splash ox - seasonal color,Converse,citron pulse/white/black - seasonal color,Code 170778C,Canvas Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169719/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/run-star-hike-platform-color-splash-ox-citron-pulse-white-black-seasonal-color/714116
185,Bella - puma black - puma white,PUMA,Puma black-puma white,Code 374898 01,Mesh Upper with Faux suede overlays & Rubber sole,749,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169578/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/bella-374898-01-puma-black-puma-white/689532
186,Ua authentic 44 dx - (anaheim factory) og emerald/scene bg,Vans,og emerald/scene bg,Code VN0A54F241I1,Canvas Upper/Rubber Sole,749,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170589/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-authentic-44-dx-anaheim-factory-og-emerald-scene-bg/687776
187,Ua old skool tapered - (pastel checkerboard) ballad blue/sin-linever peony,Vans,ballad blue/sin-linever peony,Code VN0A54F44TZ,Canvas Upper/Rubber Sole,749,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170580/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, ",https://superbalist.com/women/shoes/sneakers/ua-old-skool-tapered-pastel-checkerboard-ballad-blue-sin-linever-peony/687757
188,Run star hike three color hi - statement flow,Converse,pink quartz/pink foam/white - statement flow,Code 170968C,Canvas Upper/Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170518/original.jpg,women,"UK 3, UK 6, UK 7, UK 4, UK 5, UK 8, ",https://superbalist.com/women/shoes/sneakers/run-star-hike-three-color-hi-pink-quartz-pink-foam-white-statement-flow/714112
189,Run star hike platform all white hi - seasonal color,Converse,white/white/white - seasonal color,,Canvas Upper/Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169671/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, ",https://superbalist.com/women/shoes/sneakers/run-star-hike-platform-all-white-hi-white-white-white-seasonal-color/714115
190,Cali star mix wn’s - puma white-peach cobbler,PUMA,Puma white-peach cobbler,Code 380220 01,Faux Leather Upper with Rubber Sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169490/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cali-star-mix-wn-s-380220-01-puma-white-peach-cobbler/689537
191,Carina lift - puma white - pink,PUMA,Black,Code 373031 10,Leather Upper with Rubber sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169745/original.jpg,women,"UK 3, UK 6, UK 7, UK 8, UK 4, UK 5, ",https://superbalist.com/women/shoes/sneakers/carina-lift-373031-10-puma-white-pink-lady/689533
192,Cali star mix wn’s - puma white-  puma black,PUMA,Black,Code 380220 04,Faux Leather Upper with Faux suede overlays and Rubber sole,1349,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169613/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cali-star-mix-wn-s-380220-04-puma-white-puma-black/689538
193,Ua old skool - (sidewall print) parasain-lineing/vans turtle,Vans,Parasain-Lineing & Vans Turtle,Code VN0A3WKT4RT1,Canvas Upper with Rubber sole,674,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169071/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-old-skool-sidewall-print-parasain-lineing-vans-turtle/687788
194,Ua sk8-hi - (disruptive) black/spectrum blue,Vans,Black/spectrum blue,Code VN0A32QG4U9,Suede Upper/Rubber Sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170556/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-sk8-hi-disruptive-black-spectrum-blue/687790
195,Ua sk8-low - (disruptive) black,Vans,Black,Code VN0A4UUK4WB1,Canvas Upper with Suede overlays & Rubber Sole,824,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169065/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-sk8-low-disruptive-black-black/687791
196,S-astico mid cut w  sneakers - jazzy,Diesel,Jazzy,Code y02369-pr695-t5279,PU Upper,2239,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2066171/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/s-astico-mid-cut-w-sneakers-y02369-pr695-t5279-jazzy/672694
197,S-herby lc sneakers - black,Diesel,Black,Code y02341-p3822-t8013,Leather Upper with Rubber Sole,3999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2066033/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/s-herby-lc-sneakers-y02341-p3822-t8013-black/672707
198,S-mydori mc w sneakers - black / gold,Diesel,Black /Gold,Code y02542-p3862-h2582,,3359,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2068416/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/s-mydori-mc-w-sneakers-y02542-p3862-h2582-black-gold/672695
199,Disruptor ii corduroy - lilac,FILA,Lilac,,Textile Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2164039/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/disruptor-ii-corduroy-lilac/660601
200,Disruptor ii corduroy - mint,FILA,Mint,,Textile Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2164032/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",https://superbalist.com/women/shoes/sneakers/disruptor-ii-corduroy-mint/660602
201,Authentic 44 dx - (anaheim factory) sidewall print,Vans,OG blue/scene as,Code VN0A54F241D1,Canvas Upper with Waffle Sole,749,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2162909/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 10, UK 9, ",https://superbalist.com/men/shoes/sneakers/authentic-44-dx-anaheim-factory-og-blue-scene-as/687750
202,Ua classic slip-on - (sidewall print) blushing bride/strawberry,Vans,Pink,Code VN0A33TB44L1,Canvas Upper with Rubber Sole,561,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2163972/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 4, UK 8, ",https://superbalist.com/women/shoes/sneakers/ua-classic-slip-on-sidewall-print-blushing-bride-strawberry/687784
203,Japan s - white/camel beige,ASICS,white/camel beige,Code 1202A118-100,Synthetic Upper with Rubber Sole,749,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2149521/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/japan-s-white-camel-beige/673273
