,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
24,Court Tourino - core black/ftwr white,adidas Originals,Core black/core black/ftwr white,,Synthetic Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2223636/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/court-tourino-gz0160-core-black-ftwr-white/676106
25,Sk8-hi - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Code VN0A32QG9GB1,Canvas & Leather Upper with Waffle Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2244877/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/sk8-hi-tartan-daze-multi-acid-dye/686941
26,Old skool zip - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Code VN0A34939GB1,Canvas & Leather Upper with Waffle Sole,1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2243914/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/old-skool-zip-tartan-daze-multi-acid-dye/686940
27,Club c 85 - white/alabas/chalk,Reebok,White/Alabas/Chalk,Code Fv1095,Leather upper with Rubber sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2243497/original.jpg,women,"UK 3, UK 4, UK 6, UK 8, UK 5, UK 7, ",https://superbalist.com/women/shoes/sneakers/club-c-85-fv1095-white-alabas-chalk/740791
28,Freestyle hi Wonder Woman - shady grey / shady grey / fearless purple,Reebok,"Shady grey, Shady Grey & Fearless Purple",Code FW4658,Nubuck Upper with Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2242850/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/f-s-hi-mu-fw4658-shagre-shagre-feapur/740788
29,Cl lthr - white/white/white,Reebok,White/White/White,Code FV1083,Leather Upper with Rubber Sole,1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2197792/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/cl-lthr-fv1083-white-white-white/570488
30,Cl legacy - white/trgry1/skugry,Reebok,White/Trgry1/Skugry,Code FY7379,Textile Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2198462/original.jpg,women,"UK 10, UK 11, UK 3, UK 4, UK 5, UK 6, UK 8, UK 9, ",https://superbalist.com/women/shoes/sneakers/cl-legacy-fy7379-white-trgry1-skugry/740795
31,Calow basic q2 - white,G-Star RAW,White,Code D20039-C826-110,Suede & Textile Upper,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2241682/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/calow-basic-q2-white/670411
32,Calow basic q2 - combat,G-Star RAW,Combat,Code D20039-C826-723,Cow Suede Leather and PU-leather detailing,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221168/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/calow-basic-q2-combat/670413
33,Suede triplex - suede triplex - 38117508 - rosewater-peony-puma white,PUMA,Rosewater-peony-puma white,,Suede Upper with Rubber sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2241501/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/suede-triplex-38117508-rosewater-peony-puma-white/715756
