,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin
57,Japan s - white/camel beige,Asics,white/camel beige,Code 1202A118-100,Synthetic Upper with Rubber Sole,R699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149521/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,
58,Air Vapormax evo - white/midnight navy/hyper blue/tech grey,Nike,White/Midnight Navy/Hyper Blue/Tech Grey,Code DC9113-100,Mesh/Textile Upper/Rubber Sole,R3999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159331/original.jpg,women,"UK 4, UK 5, UK 6, UK 3, UK 7, ",,
59,L viper fash - burgundy,SOVIET,Burgundy,,Canvas Upper with Rubber Sole,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159241/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
60,L viper pu fash - light yellow,SOVIET,Light Yellow,,,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238753/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",PU Upper with Rubber Sole,
61,Ua era - (sidewall print) saffron/meals,Vans,saffron/meals,Code VN0A54F14G11,Canvas Upper with Waffle Sole,R599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159480/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
62,Ua old skool - (uv glitter) pink/true white,Vans,pink/true white,Code VN0A3WKT3UA,Canvas Upper with Waffle Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159425/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
63,L pacific - white & dusty pink,SOVIET,White & Pink,,Faux Leather Upper with Rubber Sole,R300,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159298/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
64,L pacific - black,SOVIET,Black,,Faux Leather Upper with Rubber Sole,R300,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159284/original.jpg,women,"UK 4, UK 5, UK 6, UK 8, UK 3, UK 7, ",,
65,Stan smith w - cream white/cream white/clear mint,adidas Originals,white,,,R1119,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2157951/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,CHINA
66,L coleen - dusty pink,SOVIET,Dusty Pink,,Faux Leather Upper with Rubber Sole,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159266/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",,
67,Puma shuffle - Puma white-Puma white-cloud pink-puma team gold,PUMA,Black,Code 309668 09,Synthetic Leather Upper,R674,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2158055/original.jpg,women,"UK 3, UK 4, UK 8, UK 5, UK 6, UK 7, ",,
68,Continental 80 w - clear pink/halo blue/ftwr white,adidas Originals,Clear pink/halo blue/ftwr white,Code FX5421,Leather Upper/Rubber Sole,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2157837/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
69,Disruptor ii embroidery - khaki,FILA,Khaki,Code 105-10182-FIL-KHK,Faux Leather Upper with Rubber Sole,R1124,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2158112/original.jpg,women,"UK 4, UK 3, UK 5, UK 6, UK 7, UK 8, ",,
70,Chuck Taylor All Star - festival,Converse,Egret/Spring Green/Black,Code 570765C,Canvas Upper with Rubber Sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2155079/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
71,Lyte classic - white/pink salt,Asics,white/pink salt,Code 1202A112-101,Mesh & Suede Upper with Rubber Sole,R769,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149510/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,
