,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricarion,FabricationMaterial,Fabriction,Volume,Fabircation,Suitable,Includes,Sneaker,Footwear,Base,Ingredients,Formal,Toe,Sport,Size,Qty,Care
772,Classic Slip On,Vans,White / White,Code VN000EYEW00,Canvas Upper with Waffle Sole,R599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/516830/original.jpg,women,"UK 3, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 4, UK 5, UK 12, ",,,,,,,,,,,,,,,,,
773,Club C 85 Foundation,Reebok,,,,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/513165/original.jpg,men,"UK 13, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, UK 7, ",,,,,,,,Type Sneakers,Upper Leather upper,Colour White,,,,,,,
774,Chuck Taylor All Star,,,,,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/497662/original.jpg,men,"UK 3, UK 10, UK 11, UK 12, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Black,,,Detail Round toe,,,,
775,Chuck Taylor All Star,,,,,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/497647/original.jpg,men,"UK 3, UK 8, UK 10, UK 11, UK 4, UK 5, UK 6, UK 7, UK 9, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Red,,,Detail Round toe,,,,
776,Chuck Taylor All Star,,,,,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/497623/original.jpg,men,"UK 12, UK 3, UK 10, UK 11, UK 4, UK 5, UK 6, UK 7, UK 8, UK 8.5, UK 9, ",,,,,,,,Type Lo-Top,,Colour Red,,,,Lifestyle,,,
777,Chuck Taylor All Star,,,,,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/497652/original.jpg,men,"UK 12, UK 3, UK 4, UK 5, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3.5, UK 5.5, UK 6, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Navy,,,Detail Round toe,,,,
778,Chuck Taylor All Star,,,,,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/497639/original.jpg,men,"UK 12, UK 3, UK 4, UK 7, UK 8, UK 9, UK 10, UK 11, UK 5, UK 6, UK 7.5, UK 8, ",,,,,,,,Type Lo-Top,,Colour White,,,,Lifestyle,,,
779,Chuck Taylor All Star,,,,,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/497631/original.jpg,men,"UK 12, UK 3, UK 4, UK 6, UK 8, UK 9, UK 10, UK 11, UK 5, UK 7, ",,,,,,,,Type Lo-Top,,Colour Navy,,,,Lifestyle,,,
780,Chuck Taylor All Star,,,,,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/497617/original.jpg,men,"UK 12, UK 3, UK 7, UK 8, UK 9, UK 10, UK 11, UK 4, UK 5, UK 6, ",,,,,,,,Type Lo-Top,,Colour Black,,,,Lifestyle,,,
781,Era,,,,,R649,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/490925/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Black and White,,,,,,,
782,Mexico 66,,,,,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/448286/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 6.5, UK 7.5, UK 8.5, UK 9.5, UK 10.5, UK 13, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,Type Sneakers,Upper Leather upper,Colour White,,,,,,,
783,Mexico 66,,,,,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/441619/original.jpg,women,"UK 3, UK 12, UK 8.5, UK 9.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,Type Sneakers,Upper Leather upper,Colour White,,,,,,,
784,Classic Leather Gum,Reebok,,,,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/434073/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,Type Sneakers,Upper Leather upper,Colour White,,,,,,,
785,Classic Leather Solids,Reebok,Black,Code 2267,Leather Upper & Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/432142/original.jpg,men,"UK 11, UK 12, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,
786,Crep Protect Spray,Crep,,,,R249,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/467493/original.jpg,men,,,,,,,,,,,,,,,,200ml,,
787,Crep Protect Wipes,Crep,,,,R199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/396680/original.jpg,men,,,,,,,,,,,,,,,,,12 Individually Wrapped Wipes,
788,2750 Cotu Classic Canvas,Superga,Grey Sage,,Canvas Upper & Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/396253/original.jpg,women,"UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 6.5, UK 8, UK 9, UK 10, UK 10.5, UK 11, UK 6, UK 7, UK 9.5, ",,,,,,,,,,,,,,,,,
789,2750 Cotu Classic Canvas,SUPERGA,Black / White,,Canvas Upper & Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/391804/original.jpg,women,"UK 2.5, UK 3.5, UK 8, UK 9, UK 10, UK 10.5, UK 11, UK 4, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 9.5, ",,,,,,,,,,,,,,,,,
790,SK8-Hi,,,,,R674,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/366053/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Black,,,Detail Round toe,,,,
791,SK8-Hi,,,,,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/360856/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Black and White,,,Detail Round toe,,,,
792,Old Skool,,,,,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/360802/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 3, UK 4, UK 5, UK 6, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Black and White,,,Detail Round toe,,,,
793,Old Skool,Vans,Black / Black,,Canvas Upper & Rubber Waffle Outsole,R799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/360792/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
794,SK8-Hi,,,,,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/650571/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour White,,,Detail Round toe,,,,
795,Authentic,,,,,R649,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/360780/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,Type Sneakers,Upper Canvas upper,Colour Black,,,Detail Round toe,,,,
796,Authentic - True White,Vans,True White,Code VEE3WHT,Canvas Upper with Waffle Sole,R649,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1619579/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
