,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricarion,FabricationMaterial,Fabriction,Volume,Fabircation,Suitable,Includes,Sneaker,Footwear,Base,Ingredients,Formal,Toe,Sport,Size,Qty,Care
0,Club workout - black/white/colsha,Reebok,Black/white/colsha,Code fv9915,Leather Upper,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2253793/original.jpg,men,"UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
1,Court Tourino - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code H02177,Synthetic Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246002/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, UK 14, ",,,,,,,,,,,,,,,,,
2,Court Tourino - core black/ftwr white,Adidas Originals,Core black/ftwr white/ftwr white,Code H02176,Synthetic upper with leather panels & Rubber sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251300/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
3,Run 60s 2.0 - fz0961 - core black/ftwr white/core black,Adidas Originals,Core black/ftwr white/core black,Code FZ0961,,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250982/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
4,Courtphase - ftwr white/cloud white,adidas Originals,Ftwr white/ftwr white/cloud white,Code Q47165,,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251336/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
5,Retrovulc - ftwr white/core black/dove grey,Adidas Originals,Ftwr white/core black/dove grey,Code H02209,,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251316/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
6,NMD_R1 - ftwr white/sonic aqua,Adidas Originals,Ftwr white/sonic aqua/ftwr white,Code GZ7921,Stretch knit upper with Rubber sole,R2799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251288/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
7,ZX 1K Boost - crew navy/semi solar gold,Adidas Originals,Crew navy/semi solar gold/crew navy,Code H00416,Ripstop upper with Rubber sol,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251091/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
8,"ZX 10,000 C - grey/sonic fuchsia/semi solar slime",Adidas Originals,Grey Five / Sonic Fuchsia / Semi Solar Slime,Code GZ7724,Textile and suede upper with Rubber sole,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251275/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
9,Samba recon lt - crywht/cblack/gum,adidas Originals,crywht/cblack/gum,Code B75903,Leather & Synthetic Upper with Rubber Sole,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233625/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
10,Breaknet - fx8707 - ftwr white/core black/core black,Adidas Originals,Ftwr white/core black/core black,Code FX8707,Synthetic Leather with Rubber Sole,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250905/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
11,Bravada - fv8085 - core black/ftwr white,Adidas Originals,Core black/ftwr white,Code FV8085,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250897/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
12,NMD_R1 primeblue - core black/gum,Adidas Originals,Core black/core black/gum 2,Code GZ9257,,R2799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245822/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, UK 14, UK 6, ",,,,,,,,,,,,,,,,,
13,Forum low - fy7756 - ftwr white/ftwr white/team royal blue,Adidas Originals,Ftwr white/ftwr white/team royal blue,Code FY7756,Leather Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250950/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
14,Breaknet - fx8708 - core black/ftwr white/ftwr white,Adidas Originals,Core black/ftwr white/ftwr white,Code FX8708,,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250921/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
15,Stan Smith - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code FX5500,Synthetic Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245795/original.jpg,men,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
16,Superstar - core black/gold met.,Adidas Originals,Core black/core black/gold met.,Code H00185,Synthetic Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251253/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, ",,,,,,,,,,,,,,,,,
17,"Air Force 1 '07 LV8 ""indigo""",Nike,White/obsidian-white-black,Code CZ0338-100,Synthetic Leather and Recycled Canvas Upper with Cork & Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246920/original.jpg,men,"UK 6.5, UK 7.5, UK 8.5, UK 9.5, UK 10, UK 10.5, UK 11, UK 6, UK 7, UK 8, UK 9, UK 12, ",,,,,,,,,,,,,,,,,
18,NY 90 - dash grey/solar red/ftwr white,Adidas Originals,Dash grey/solar red/ftwr white,Code H02169,Synthetic Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245994/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
19,ZX 1K Boost - triple black,Adidas Originals,Core black/core black/core black,Code H68721,Knit mesh upper with overlays and weldings with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246111/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
20,Stan Smith vulc - legend ink/red/ftwr white,adidas Originals,Legend ink/red/ftwr white,Code GZ8954,Textile Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246985/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
21,237 - black (001),New Balance,Black,Code MS237CC,Mesh Upper with Suede Overlays & Rubber sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247649/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
22,Hoops 2.0 - ftwr white/core black,Adidas Originals,ftwr white/core black/ftwr white,Code FY8629,Synthetic Leather Upper & Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245815/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
23,Ozweego - cream white/core black/focus olive,Adidas Originals,Cream white/core black/focus olive,Code H04242,Textile Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247387/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
24,Stan Smith vulc - ftwr white/ambient sky/grey two,Adidas Originals,Ftwr white/ambient sky/grey two,Code GZ8955,Canvas Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247297/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
25,Niteball - core black/ftwr white/silver met.,Adidas Originals,Core black/ftwr white/silver met.,Code H67360,"Leather, Mesh & Synthetic Upper with Rubber Sole",R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246064/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, ",,,,,,,,,,,,,,,,,
26,Retrovulc - core black/ftwr white,Adidas Originals,Core black/ftwr white/core black,Code h02210,Synthetic Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247305/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
27,Terrex voyager 21 h.rdy - savannah/core black/screaming orange,adidas Performance,"Savannah, Core Black & Screaming Orange",Code Fw9406,Textile Upper with Rubber sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246084/original.jpg,men,"UK 6, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 9.5, UK 10, UK 10.5, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
28,Forum mid- ftwr white/team royal blue,Adidas Originals,Ftwr white/team royal blue/ftwr white,Code FY4976,Leather Upper with Rubber Sole,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246933/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
29,Calow - industrial grey,G-Star RAW,Industrial Grey,Code D20036-B703-1816,Cow Suede & PU Upper,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221230/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
30,Calow - white wp,G-Star RAW,White wp,Code D20036-B703-B557,,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221187/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
31,"Air Force 1 '07 LV8 ""Himalayan Rhubarb""",Nike,White/Natural-White-Black,Code CZ0338-101,Leather Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243880/original.jpg,men,"UK 6, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 9.5, UK 10, UK 10.5, UK 11, UK 6.5, UK 12, ",,,,,,,,,,,,,,,,,
32,"Blazer mid '77 ""pomegranate""",Nike,Black/Solar Flare-White-Black,Code CI1166-001,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243872/original.jpg,men,"UK 6, UK 6.5, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
33,Suede triplex - peacoat-high risk red-puma white,PUMA,Navy,Code 38117504,Suede Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243968/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
34,Suede triplex - puma black-steel gray-puma white,PUMA,puma black-steel gray-puma white,Code 38117501,Suede Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243983/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
35,Zx 1k boost - ftwr white/core black/halo silver,Adidas Originals,"White, Black Core/Silver Halo",,Textile Upper/Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2065899/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
36,Forum low - fy7757 - ftwr white/ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code FY7757,Leather Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245804/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
37,Zx 1k boost - core black/ftwr white/black silver met.,Adidas Originals,"Black, White & Silver met",,Textile Upper/Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2065914/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
38,Instapump Fury OG nm - FW7699 - black/true grey 7/white,Reebok,"Black, True Grey & White",Code FW7699,Mesh Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2242830/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 7, ",,,,,,,,,,,,,,,,,
39,Cl lthr - chalk/deecob/utiyel,Reebok,Chalk/deecob/utiyel,Code Fv6364,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243557/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
40,Old Skool x Spongebob - off the wall,Vans,Off the Wall,Code VN0A38G19EK1,Canvas Upper with Suede Overlays & Waffle Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240396/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 3, ",,,,,,,,,,,,,,,,,
41,Tect - industrial grey,G-Star RAW,industrial grey,Code D19261-8701-1816,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221149/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
42,Calow iii - industrial grey,G-Star RAW,Industrial Grey,Code D20035-B698-1816,PU & Nylon Upper,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221254/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
43,Cl lthr - pugry3/vecnav/maroon,Reebok,pugry3/vecnav/maroon,Code FV1959,Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197898/original.jpg,men,"UK 5, UK 6, UK 7, UK 9, UK 10, UK 11, UK 12, UK 8, ",,,,,,,,,,,,,,,,,
44,Tect pro q2 - shamrock,G-Star RAW,Shamrock,Code D20031-9242-2199,Nylon Upper with Rubber sole,R2899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221271/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
45,Calow - shamrock,G-Star RAW,Shamrock,Code D20036-B703-2199,Cow Suede & PU Upper,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221202/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
46,SK8-Hi x Spongebob - imaginaaation,Vans,Imaginaaation,Code VN0A32QGZAW1,Canvas Upper with Waffle Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240324/original.jpg,men,"UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, ",,,,,,,,,,,,,,,,,
47,Classic Slip-On x Spongebob - alohabob,Vans,Alohabob,Code VN0A33TBYZ11,Canvas Upper with Waffle Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240356/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, UK 7, ",,,,,,,,,,,,,,,,,
48,Tect - shamrock,G-Star RAW,shamrock,Code D19261-8701-2199,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221160/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
49,Tect - matt asphalt,G-Star RAW,matt asphalt,Code D19261-8701-4677,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221173/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
50,Club c revenge mu - white/black/legacr,Reebok,white/black/legacr,Code EF3220,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197624/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
51,Tect pro q2 - industrial grey,G-Star RAW,Industrial Grey,Code D20030-8941-1816,Nylon Upper with Rubber sole,R2899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221286/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
52,Authentic x SpongeBob - airbrush,Vans,Airbrush,Code VN0A5HZSZAS1,Canvas Upper with Waffle Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240285/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
53,Club c stacked - black/black/rbkg06,Reebok,black/black/rbkg06,Code FV6426,Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198150/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
54,Club c revenge - vecnav/utigrn/alabas,Reebok,Vecnav/Utigrn/Alabaster,Code FV2132,Leather Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197995/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 12, UK 5, UK 7, UK 11, ",,,,,,,,,,,,,,,,,
55,Club c 85 - white/white/elefla,Reebok,White/White/Elefla,Code FV2139,Textile Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198039/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 5, UK 6, ",,,,,,,,,,,,,,,,,
56,Club c revenge - white/horblu/vecred,Reebok,white/horblu/vecred,Code FV6386,Leather Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198103/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 11, UK 12, UK 5, UK 10, ",,,,,,,,,,,,,,,,,
57,Club c stacked - white/white/rbkg06,Reebok,white/white/rbkg06,Code FV2127,Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197968/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 5, ",,,,,,,,,,,,,,,,,
58,Club c 85 - white/white/sorang,Reebok,White/White/Sorang,Code FV6362,Textile Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198074/original.jpg,men,"UK 5, UK 7, UK 8, UK 9, UK 11, UK 12, UK 6, UK 10, ",,,,,,,,,,,,,,,,,
59,Mirage tech core - puma black-puma white,PUMA,puma black-puma white,Code 381119 02,Mesh & Textile Upper with Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238597/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
60,C-skate vulc camo - desert sage-puma white,PUMA,desert sage-puma white,Code 368887 01,Canvas Upper with Rubber Sole,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238615/original.jpg,men,"UK 6, UK 7, UK 8, UK 12, UK 9, UK 10, UK 11, UK 13, ",,,,,,,,,,,,,,,,,
61,Suede bloc - puma black-ivory glow,PUMA,puma black-ivory glow,Code 38118302,Suede Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238586/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
62,Rs-fast nano - puma black-puma black,PUMA,puma black-puma black,Code 375640 03,Mesh & Nylon Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236595/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
63,Rs-connect lazer - vaporous gray-nrgy blue,PUMA Select,vaporous gray-nrgy blue,Code 375152 02,Mesh & Suede Upper with Rubber Sole,R2299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236613/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
64,Mirage tech core - peacoat-fiery coral,PUMA,peacoat-fiery coral,Code 381119 03,Mesh & Textile Upper with Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2236649/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
65,Future rider aka boku -  puma x aka boku,PUMA Select,Puma black-Solar power,Code 380169_01,Nylon Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2235123/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
66,Rs-connect aka boku -  puma x aka boku,PUMA Select,Solar power-Puma white,Code 375968_01,Mesh Upper with Rubber Sole,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2235060/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
67,Oslo-city re.gen - puma white-nimbus cloud,PUMA,Puma white - Nimbus cloud,Code 375859_01,Leather Upper with Rubber Sole,R2299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2235034/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, ",,,,,,,,,,,,,,,,,
68,Mirage mox -,PUMA Select,eggnog-fiery coral,,"Mesh, Suede Upper/Rubber Sole",R2299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071834/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
69,Ua old skool - (classic sport) black/waterfall,Vans,Black & Waterfall,Code VN0A3WKT4FV1,Canvas Upper with Suede Overlays & Rubber sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233295/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
70,5740 - grey,New Balance,Grey,Code M5740CA,Suede & Mesh Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233447/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 11, UK 7, ",,,,,,,,,,,,,,,,,
71,237 - turtledove,New Balance,Turtledove (270),Code MS237CB,Suede & Mesh Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233469/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 11.5, ",,,,,,,,,,,,,,,,,
72,237 - indigo,New Balance,Indigo (426),Code MS237CA,Suede & Mesh Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233458/original.jpg,men,"UK 8, UK 9, UK 10, UK 11, UK 6, UK 7, ",,,,,,,,,,,,,,,,,
73,Evdnt ultimatewaffle - black/black/white,Vans,black/black/white,,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223291/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
74,Evdnt ultimatewaffle - grey/multi,Vans,grey/multi,,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223259/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,
75,Air force 1 '07 lv8 - light bone/black-sail,Nike,light bone/black-sail,Code CZ0339-001,Leather Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2227048/original.jpg,men,"UK 6.5, UK 9.5, UK 6, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 10, UK 10.5, UK 11, UK 11.5, UK 12, ",,,,,,,,,,,,,,,,,
76,Ua era - (classic sport) black/waterfall,Vans,Black/Waterfall,,Canvas Upper with Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223321/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
77,Trailfox boot kidsuper -  puma x kidsuper studios,PUMA Select,Lupine-Paloma,Code 375191_01,Nylon Upper with Rubber Sole,R2249,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2222052/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
78,Mirage mox kidsuper -  puma x kidsuper studios,PUMA Select,forever blue-shifting sand,Code 375189_01,Suede Upper with Rubber Sole,R1949,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2222007/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 6, ",,,,,,,,,,,,,,,,,
79,Ralph samspon 70 kidsuper -  puma x kidsuper studios,PUMA Select,Puma white-Puma white,Code 375190_01,Leather Upper with Rubber Sole,R1724,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2222028/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
