,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
177,S-dvelows ml sneakers - military green/orange,Diesel,military green/orange,Code Y02586-PR196-H8570,Textile Upper with Rubber Sole,2449,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2180322/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/s-dvelows-ml-sneakers-y02586-pr196-h8570-military-green-orange/672710
178,Cadet ii - dk creuset,G-Star RAW,Dark creuset,,Faux-suede Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2179710/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/cadet-ii-dk-creuset/729260
179,S-serendipity low cut sneakers - steel gray / surf blue,Diesel,Steel Gray / Surf Blue,Code Y02547-P3810-H8403,Nylon Upper with Suede Overlays & Rubber Sole,2029,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2180243/original.jpg,men,"UK 9, UK 11, UK 6, UK 7, UK 8, UK 10, ",https://superbalist.com/men/shoes/sneakers/s-serendipity-low-cut-sneakers-y02547-p3810-h8403-steel-gray-surf-blue/672702
180,Converse renew chuck 70 recycled knit ox - renew knit,Converse,Black/String/Barely volt,Code 170867C,Knit Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2177882/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/converse-renew-chuck-70-recycled-knit-ox-black-string-barely-volt-renew-knit/714061
181,Chuck 70 popped cork hi - summer daze,Converse,Red bark/Egret/gum,Code 170853C,Canvas Upper with Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2177695/original.jpg,men,"UK 7, UK 8, UK 10, UK 6, UK 9, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-70-popped-cork-hi-red-bark-egret-gum-summer-daze/714065
182,Astro system - olive,Replay,Olive,Code RZ1R0006T-MIL GREEN,Synthetic Upper with Rubber Sole,2309,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178993/original.jpg,men,"UK 7, UK 10, UK 11, UK 6, UK 8, UK 9, ",https://superbalist.com/men/shoes/sneakers/astro-system-olive/726824
183,Chuck taylor all star ultra lightweight ox - dramatic nights - pwf,Converse,Mason/Gravel/Bold wasabi,Code 170953C,Mesh Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178082/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 6, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-ultra-lightweight-ox-mason-gravel-bold-wasabi-dramatic-nights-pwf/714045
184,Converse renew recycled knit hi - renew knit,Converse,bright poppy/string/barely volt,Code 170865C,Knit Upper with Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2177779/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/converse-renew-recycled-knit-hi-bright-poppy-string-barely-volt-renew-knit/714048
185,Chuck taylor all star ultra lightweight mid - summer daze mws,Converse,Black/Storm wind/Bright poppy,Code 170832C,Faux leather Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2177630/original.jpg,men,"UK 6, UK 8, UK 9, UK 7, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-ultra-lightweight-mid-black-storm-wind-bright-poppy-summer-daze-mws/714053
186,Chuck taylor all star ultra lightweight ox - dramatic nights - pwf,Converse,White/Gravel/Nightfall violet,Code 170954,Mesh Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2179052/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 11, UK 7, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-ultra-lightweight-ox-white-gravel-nightfall-violet-dramatic-nights-pwf/714056
187,Chuck taylor all star renew knit ox - renew knit,Converse,Mason/String/White,Code 170873,Knit Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2179033/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-renew-knit-ox-mason-string-white-renew-knit/714057
188,Chuck taylor all star renew knit hi - renew knit,Converse,Ash stone/String/White,Code 170870C,Knit Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2179012/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-renew-knit-hi-ash-stone-string-white-renew-knit/714058
189,Skid grip 80's archive print ox - archive print,Converse,white/court green/black - archive print,Code 170724,Canvas Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2177591/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 6, ",https://superbalist.com/men/shoes/sneakers/skid-grip-80-s-archive-print-ox-white-court-green-black-archive-print/714068
190,Converse renew recycled knit hi - renew knit,Converse,Egret/String/Barely volt,Code 170864C,Knit Upper with Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2177737/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/converse-renew-recycled-knit-hi-egret-string-barely-volt-renew-knit/714072
191,Air Max 2090 - white/turf orange-black-aquamarine,Nike,White/Turf orange/Black-aquamarine,Code CZ1708-100,Mesh Upper/Rubber Sole,2024,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2159279/original.jpg,men,"UK 9, UK 10, UK 11, UK 12, UK 6, UK 7, UK 8, ",https://superbalist.com/men/shoes/sneakers/air-max-2090-cz1708-100-white-turf-orange-black-aquamarine/647363
192,Chuck taylor all star high street canvas mid - dramatic nights,Converse,White/Black/Nightfall violet,Code 170956C,Canvas Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178117/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-high-street-canvas-mid-white-black-nightfall-violet-dramatic-nights-pwf/714049
193,Chuck taylor all star ultra lightweight mid - dramatic nights - pwf,Converse,Gravel/Black/Nightfall violet,Code 170952,Mesh Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2178020/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-ultra-lightweight-mid-gravel-black-nightfall-violet-dramatic-nights-pwf/714050
194,Chuck taylor all star ultra lightweight ox - summer daze - pwf,Converse,Field surplus/Light field surplus/Black,Code 170932C,Mesh Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2177954/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-ultra-lightweight-ox-field-surplus-light-field-surplus-black-summer-daze-pwf/714054
195,5740 - carnival (695),New Balance,Carnival,Code M5740GA,Suede/Mesh Upper/Rubber Sole,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176649/original.jpg,men,"UK 11, UK 6, UK 7, UK 8, UK 9, UK 10, ",https://superbalist.com/men/shoes/sneakers/5740-carnival-695-m5740ga/689770
196,Rackam core mid - zelt,G-Star RAW,Zelt,,Suede & Textile Upper with Rubber Sole,1609,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176040/original.jpg,men,"UK 12, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/rackam-core-mid-zelt/729264
197,Instapump fury og - true grey 7/true grey 8/alert yellow,Reebok,True grey 7/True grey 8/Alert yellow,,"Textile, Synthetic Upper/Rubber Sole",1609,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2050115/original.jpg,men,"UK 8, UK 9, UK 10, UK 11, UK 6, UK 7, ",https://superbalist.com/men/shoes/sneakers/instapump-fury-og-true-grey-7-true-grey-8-alert-yellow/636469
198,Suede teams - puma royal-vibrant orange,PUMA,Puma royal-Vibrant orange,Code 380168-01,Suede Upper/Rubber Sole,1124,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176318/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/suede-teams-380168-01-puma-royal-vibrant-orange/689464
199,Puma shuffle perf - puma white-puma black-puma team gold,PUMA,Puma white-Puma black-Puma team gold,Code 380150-01,Leather Upper/Rubber Sole,674,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176291/original.jpg,men,"UK 9, UK 6, UK 7, UK 8, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/puma-shuffle-perf-380150-01-puma-white-puma-black-puma-team-gold/689469
200,Rs-x cnv - puma white-eggnog-shifting sand,PUMA,Puma white-Eggnog-Shifting sand,Code 380574-01,Textile/Suede Upper/Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176357/original.jpg,men,"UK 10, UK 11, UK 6, UK 7, UK 8, UK 9, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/rs-x-cnv-380574-01-puma-white-eggnog-shifting-sand/689475
201,Rs-x³ hard drive - puma black-poppy red,PUMA,Puma black-Poppy red,Code 374991-01,Mesh/Synthetic Upper/Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176105/original.jpg,men,"UK 11, UK 12, UK 6, UK 7, UK 8, UK 9, UK 10, ",https://superbalist.com/men/shoes/sneakers/rs-x-hard-drive-374991-01-puma-black-poppy-red/689476
202,5740 - pigment (481),New Balance,Pigment,Code M5740GD,Suede/Textile Upper/Rubber Sole,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176692/original.jpg,men,"UK 11, UK 6, UK 7, UK 8, UK 9, UK 10, ",https://superbalist.com/men/shoes/sneakers/5740-pigment-481-m5740gd/689771
203,Suede classic xxi - gray violet-puma white,PUMA,Gray violet-Puma white,Code 374915_03,Suede Upper/Rubber Sole,1124,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176062/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/suede-classic-xxi-374915-03-gray-violet-puma-white/689470
204,X-ray 2 square - puma black-puma white-star sapphire-soft fluo yellow,PUMA,Puma black - White - star sapphire - Soft fluo yellow,Code 373108_13,Mesh/Suede Upper/Rubber Sole,1049,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2175910/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/x-ray-2-square-373108-13-puma-black-puma-white-star-sapphire-soft-fluo-yellow/689459
205,Rs 2.0 futura - puma black-poppy red-quarry,PUMA,Puma black-Poppy red-Quarry,Code 374011-13,Suede/Leather Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2175938/original.jpg,men,"UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, UK 7, ",https://superbalist.com/men/shoes/sneakers/rs-2-0-futura-374011-13-puma-black-poppy-red-quarry/689474
206,Cadet ii - black/black,G-Star RAW,Black,,Textile Upper with Rubber Sole,1049,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2175981/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, ",https://superbalist.com/men/shoes/sneakers/cadet-ii-black-black/729261
207,S-kb sle sneakers - iron gate,Diesel,Iron Gate,Code y02404-p2857-h7893,Textile Upper with Rubber sole,1819,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2066282/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 6, ",https://superbalist.com/men/shoes/sneakers/s-kb-sle-sneakers-y02404-p2857-h7893-iron-gate/672697
208,Mirage tech - gray violet-puma white,PUMA,Grey violet - Puma white,,Mesh Upper/Rubber Sole,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2072022/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/mirage-tech-381118-02-gray-violet-puma-white/689471
209,Style rider cnv - gray violet-brush,PUMA,Gray violet-brush,Code 375621-01,Textile/Synthetic Upper/Rubber Sole,1424,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176222/original.jpg,men,"UK 9, UK 10, UK 11, UK 12, UK 6, UK 7, UK 8, ",https://superbalist.com/men/shoes/sneakers/style-rider-cnv-375621-01-gray-violet-brush/689477
210,720 - reflection (073),New Balance,Reflection,Code Ul720,Suede/Mesh Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176721/original.jpg,men,"UK 7, UK 8, UK 6, UK 9, UK 10, UK 10.5, ",https://superbalist.com/men/shoes/sneakers/720-reflection-073-ul720bc1/689805
211,Calow ii - iron,G-Star RAW,Iron,,Synthetic Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2176002/original.jpg,men,"UK 12, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/calow-ii-iron/729263
212,Delpala - crew navy/ftwr white/hi-res yellow,adidas Originals,Crew navy/ftwr white/hi-res yellow,Code FY7494,Canvas Upper/Rubber Sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2174385/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/delpala-fy7494-crew-navy-ftwr-white-hi-res-yellow/636314
213,Mirage og eb -  earthbreak mmq,PUMA Select,Eggnog - Puma white,,"Suede, Textile Upper/Rubber Sole",1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2071846/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/mirage-og-eb-375514-01-eggnog-puma-white/689572
214,S-mydori mc sneakers - white,Diesel,White,Code y02540-p3861-t1015,Cow Leather Upper,3359,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2069868/original.jpg,men,"UK 9, UK 10, UK 6, UK 7, UK 8, UK 11, ",https://superbalist.com/men/shoes/sneakers/s-mydori-mc-sneakers-y02540-p3861-t1015-white/672685
215,574d rugged - white (100),New Balance,White/Multi,,Mesh Upper/Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171055/original.jpg,men,"UK 8, UK 9, UK 10, UK 11, UK 6, UK 7, ",https://superbalist.com/men/shoes/sneakers/574d-rugged-white-100-ml574drm/689763
216,327 - moonbeam (121),New Balance,Moonbeam,,Mesh Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171151/original.jpg,men,"UK 11, UK 11.5, UK 6, UK 7, UK 8, UK 9, UK 10, ",https://superbalist.com/men/shoes/sneakers/327-moonbeam-121-ms327ba/689785
217,Chuck 70 '80s archive print hi - archive print - skate inspired,Converse,Egret/court green/converse black,,,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171777/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-70-80s-archive-print-hi-egret-court-green-converse-black-archive-print-skate-inspired/714041
218,Chuck taylor all star ultra lightweight ox - chuck taylor all star ultra,Converse,String/pale putty/red bark,,,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171782/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-ultra-lightweight-ox-string-pale-putty-red-bark-chuck-taylor-all-star-ultra/714052
219,574d rugged - black/blue (945),New Balance,Black/Blue,,Suede Upper/Rubber Sole,1799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170992/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/574d-rugged-black-blue-945-ml574drc/689764
220,Converse renew chuck taylor all star crater knit hi - renew knit,Converse,Black/mason/white,,Knit Upper with Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171748/original.jpg,men,"UK 9, UK 11, UK 6, UK 7, UK 8, UK 10, ",https://superbalist.com/men/shoes/sneakers/converse-renew-chuck-taylor-all-star-crater-knit-hi-black-mason-white-renew-knit/714047
221,Converse g4 court daze hi - court daze,Converse,Black/bright poppy/harbor teal,,Textile & Nylon Upper with Rubber Sole,2799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171728/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/converse-g4-court-daze-hi-black-bright-poppy-harbor-teal-court-daze/714075
222,327 - ghost pepper (690),New Balance,Ghost pepper,,Mesh/Suede Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171200/original.jpg,men,"UK 11, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11.5, ",https://superbalist.com/men/shoes/sneakers/327-ghost-pepper-690-ms327bb/689786
223,Chuck 70 seasonal color recycled canvas hi - seasonal color vintage canvas,Converse,Terracotta pink/egret/egret,,Canvas Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2171734/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-70-seasonal-color-recycled-canvas-hi-terracotta-pink-egret-egret-seasonal-color-vintage-canvas/714036
224,Ua old skool - (retro cali) marsala/spectrum blue,Vans,marsala/spectrum blue,Code VN0A3WKT40J,Textile Upper/Rubber Sole,711,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170535/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/ua-old-skool-retro-cali-marsala-spectrum-blue/687811
225,Chuck taylor all star high street wordmark print mid - wordmark,Converse,gravel/university red/white,Code 170819C,Canvas Upper/Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170159/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-high-street-wordmark-print-mid-gravel-university-red-white-wordmark/714039
226,Chuck 70 '80s archive print ox - archive print - skate inspired,Converse,Dolphin/hyper pink/black,Code 170924C,Canvas Upper/Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170450/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-70-80s-archive-print-ox-dolphin-hyper-pink-black-archive-print-skate-inspired/714042
227,Chuck 70 '80s archive print ox - archive print - skate inspired,Converse,hyper pink/digital blue/black,Code 170925C,Canvas Upper/Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170483/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-70-80s-archive-print-ox-hyper-pink-digital-blue-black-archive-print-skate-inspired/714044
228,Chuck taylor all star street canvas mid - summer daze,Converse,mouse/ash stone/white,,Canvas Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170489/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-street-canvas-mid-mouse-ash-stone-white-summer-daze/714055
229,Converse renew chuck 70 recycled knit ox - renew knit,Converse,light field surplus/string/barely volt,Code 170866C,Knit Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170378/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/converse-renew-chuck-70-recycled-knit-ox-light-field-surplus-string-barely-volt-renew-knit/714062
230,Chuck 70 popped cork ox - summer daze,Converse,Egret/gum/egret,Code 170855C,Canvas Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170341/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-70-popped-cork-ox-egret-gum-egret-summer-daze/714066
231,Converse renew chuck taylor all star crater knit hi - renew knit,Converse,light field surplus/string/barely volt,Code 170869C,Knit Upper/Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170411/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 7, UK 11, ",https://superbalist.com/men/shoes/sneakers/converse-renew-chuck-taylor-all-star-crater-knit-hi-light-field-surplus-string-barely-volt-renew-knit/714071
232,Room blackwell - black,Replay,Black,Code RV760023S-BLACK BLACK,Leather Upper with Rubber Sole,2309,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169734/original.jpg,men,"UK 8, UK 9, UK 10, UK 6, UK 7, UK 11, ",https://superbalist.com/men/shoes/sneakers/room-blackwell-black/726822
233,Blog erik - white,Replay,White,Code RZ520025L-WHITE,Leather Upper with Rubber Sole,2484,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169390/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/blog-erik-white/726829
234,Blog erik - burgundy,Replay,Burgundy,Code RZ520025L-BURGUNDY,Leather Upper with Rubber Sole,2484,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169431/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 6, ",https://superbalist.com/men/shoes/sneakers/blog-erik-burgundy/726830
235,Adrien gates - ch grey navy,Replay,ch grey navy,Code RS1D0011T-CH GREY NAVY,Syhthetic Upper with Suede Overlays & Rubber Sole,2549,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169683/original.jpg,men,"UK 9, UK 6, UK 7, UK 8, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/adrien-gates-ch-grey-navy/726819
236,Astro system - black,Replay,Olive,Code RZ1R0006T-BLACK,Synthetic Upper with Rubber Sole,2309,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2179017/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/astro-system-black/726823
237,Spot cap bear - mil green,Replay,Mil Green,Code RZ2L0003L-MIL GREEN,Leather Upper with Rubber Sole,2624,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169565/original.jpg,men,"UK 10, UK 11, UK 6, UK 7, UK 8, UK 9, ",https://superbalist.com/men/shoes/sneakers/spot-cap-bear-mil-green/726826
238,Pinch basic - white,Replay,White,Code RZ2V002L-WHITE,Leather Upper with Rubber Sole,2239,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169485/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/pinch-basic-white/726828
239,Chuck taylor all star high street wordmark print mid - wordmark,Converse,black/bold wasabi/white,Code 170818C,Canvas Upper/Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170119/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-high-street-wordmark-print-mid-black-bold-wasabi-white-wordmark/714040
240,Chuck taylor all star high street canvas mid - summer daze mws,Converse,Natural ivory/sesame/white,,Canvas Upper/Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170499/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-high-street-canvas-mid-natural-ivory-sesame-white-summer-daze-mws/714046
241,Chuck 70 archive paint splatter print hi - archive print - paint splatter,Converse,egret/digital blue/egret,Code 170802C,Canvas Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169854/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-70-archive-paint-splatter-print-hi-egret-digital-blue-egret-archive-print-paint-splatter/714059
242,Chuck 70 seasonal color recycled canvas ox - seasonal color vintage canvas,Converse,banana cake/egret/egret,Code 170793C,Canvas Upper/Rubber Sole,999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2169804/original.jpg,men,"UK 8, UK 9, UK 10, UK 11, UK 6, UK 7, ",https://superbalist.com/men/shoes/sneakers/chuck-70-seasonal-color-recycled-canvas-ox-banana-cake-egret-egret-seasonal-color-vintage-canvas/714063
243,Converse cons chuck taylor all star pro white widow hi - roll up,Converse,black/university red/white,Code 170938,Canvas Upper/Rubber sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170507/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/converse-cons-chuck-taylor-all-star-pro-white-widow-hi-black-university-red-white-roll-up/714073
244,Chuck taylor all star crater recycled canvas hi - summer daze,Converse,Summer daze,Code 170827C,Recycled Polyester Canvas Upper with Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170218/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/chuck-taylor-all-star-crater-recycled-canvas-hi-ash-stone-bright-poppy-white-summer-daze/714074
245,Ua old skool - (retro cali) raven/spectrum blue,Vans,raven/spectrum blue,Code VN0A3WKT40K,Textile Upper/Rubber Sole,711,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2170548/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/ua-old-skool-retro-cali-raven-spectrum-blue/687812
