,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size
19,Stan Smith vulc - legend ink/red/ftwr white,adidas Originals,Legend ink/red/ftwr white,Code GZ8954,Textile Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246985/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
20,ZX 1K Boost - triple black,Adidas Originals,Core black/core black/core black,Code H68721,Knit mesh upper with overlays and weldings with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246111/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
21,NY 90 - dash grey/solar red/ftwr white,Adidas Originals,Dash grey/solar red/ftwr white,Code H02169,Synthetic Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245994/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
22,237 - black (001),New Balance,Black,Code MS237CC,Mesh Upper with Suede Overlays & Rubber sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247649/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
23,Hoops 2.0 - ftwr white/core black,Adidas Originals,ftwr white/core black/ftwr white,Code FY8629,Synthetic Leather Upper & Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245815/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
24,Retrovulc - core black/ftwr white,Adidas Originals,Core black/ftwr white/core black,Code h02210,Synthetic Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247305/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
25,Ozweego - cream white/core black/focus olive,Adidas Originals,Cream white/core black/focus olive,Code H04242,Textile Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247387/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
26,Stan Smith vulc - ftwr white/ambient sky/grey two,Adidas Originals,Ftwr white/ambient sky/grey two,Code GZ8955,Canvas Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247297/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
27,Niteball - core black/ftwr white/silver met.,Adidas Originals,Core black/ftwr white/silver met.,Code H67360,"Leather, Mesh & Synthetic Upper with Rubber Sole",R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246064/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, "
28,Forum mid- ftwr white/team royal blue,Adidas Originals,Ftwr white/team royal blue/ftwr white,Code FY4976,Leather Upper with Rubber Sole,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246933/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
29,Terrex voyager 21 h.rdy - savannah/core black/screaming orange,adidas Performance,"Savannah, Core Black & Screaming Orange",Code Fw9406,Textile Upper with Rubber sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246084/original.jpg,men,"UK 6, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 9.5, UK 10, UK 10.5, UK 11, UK 12, "
30,Calow - industrial grey,G-Star RAW,Industrial Grey,Code D20036-B703-1816,Cow Suede & PU Upper,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221230/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
